Excitation/Emission,450 nm/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed read,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinetic settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total run time,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycles,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake settings (before 1st read),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),450 nm/-,Cycle(Seconds)/Well,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,,0,3.106,1.732,0.518,0.417,0.537,0.411,0.489,0.529,0.461,0.629,0.513,0.499,2.988,1.572,0.488,0.391,0.509,0.374,0.456,0.49,0.438,0.613,0.488,0.483,2.815,1.477,0.46,0.372,0.488,0.369,0.44,0.479,0.422,0.599,0.463,0.455,0.806,0.361,0.115,0.098,0.116,0.093,0.106,0.113,0.108,0.147,0.113,0.033,0.792,0.399,0.115,0.094,0.117,0.094,0.11,0.113,0.106,0.148,0.119,0.032,0.782,0.373,0.113,0.092,0.118,0.095,0.104,0.11,0.102,0.144,0.113,0.033,0.987,0.787,0.609,0.484,0.239,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.976,0.79,0.615,0.421,0.234,0.049,0.034,0.033,0.033,0.033,0.033,0.032
,,119.51,3.876,2.23,0.677,0.545,0.705,0.539,0.641,0.694,0.61,0.827,0.671,0.659,3.789,2.072,0.647,0.517,0.679,0.494,0.611,0.662,0.583,0.82,0.648,0.642,3.618,1.975,0.619,0.5,0.654,0.496,0.593,0.649,0.568,0.81,0.626,0.614,1.111,0.489,0.142,0.118,0.144,0.111,0.13,0.138,0.132,0.189,0.14,0.033,1.121,0.546,0.142,0.114,0.145,0.114,0.136,0.14,0.13,0.191,0.148,0.032,1.098,0.516,0.141,0.111,0.149,0.114,0.128,0.136,0.125,0.187,0.142,0.033,0.974,0.787,0.611,0.485,0.238,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.964,0.79,0.615,0.42,0.234,0.049,0.034,0.033,0.033,0.033,0.033,0.032
,,239.93,#SAT,2.699,0.837,0.67,0.872,0.664,0.792,0.857,0.75,1.018,0.828,0.81,#SAT,2.53,0.804,0.642,0.843,0.614,0.759,0.819,0.725,1.02,0.804,0.792,#SAT,2.432,0.777,0.626,0.821,0.621,0.742,0.813,0.711,1.012,0.786,0.764,1.404,0.616,0.167,0.138,0.171,0.129,0.154,0.165,0.156,0.23,0.168,0.033,1.431,0.694,0.171,0.132,0.173,0.134,0.164,0.168,0.154,0.234,0.179,0.032,1.409,0.659,0.169,0.13,0.179,0.133,0.153,0.164,0.149,0.231,0.173,0.033,0.974,0.786,0.611,0.484,0.237,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.966,0.789,0.615,0.419,0.233,0.049,0.034,0.033,0.033,0.033,0.034,0.032
,,359.82,#SAT,3.126,0.992,0.795,1.034,0.788,0.938,1.013,0.886,1.202,0.982,0.955,#SAT,2.952,0.958,0.766,1.002,0.732,0.902,0.972,0.862,1.212,0.957,0.938,#SAT,2.849,0.931,0.749,0.982,0.743,0.887,0.97,0.849,1.204,0.941,0.91,1.688,0.743,0.194,0.157,0.197,0.146,0.178,0.19,0.178,0.27,0.195,0.033,1.727,0.843,0.198,0.151,0.202,0.152,0.19,0.195,0.178,0.276,0.209,0.032,1.707,0.802,0.196,0.147,0.208,0.153,0.178,0.192,0.173,0.273,0.203,0.033,0.975,0.785,0.61,0.483,0.237,0.053,0.035,0.036,0.036,0.035,0.034,0.033,0.966,0.788,0.614,0.419,0.233,0.049,0.034,0.033,0.033,0.033,0.034,0.032
,,479.97,#SAT,3.521,1.143,0.917,1.191,0.91,1.082,1.166,1.02,1.38,1.133,1.095,#SAT,3.339,1.109,0.887,1.159,0.849,1.042,1.124,0.997,1.397,1.108,1.075,#SAT,3.239,1.082,0.869,1.14,0.863,1.029,1.124,0.984,1.39,1.093,1.05,1.96,0.87,0.22,0.176,0.224,0.164,0.201,0.214,0.201,0.31,0.222,0.032,2.013,0.99,0.225,0.17,0.23,0.171,0.215,0.221,0.2,0.318,0.239,0.032,1.995,0.943,0.224,0.164,0.237,0.171,0.202,0.218,0.195,0.316,0.232,0.033,0.979,0.784,0.608,0.482,0.237,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.965,0.788,0.614,0.418,0.232,0.049,0.034,0.033,0.033,0.033,0.033,0.032
,,599.85,#SAT,3.881,1.29,1.037,1.344,1.028,1.221,1.314,1.152,1.55,1.28,1.23,#SAT,3.7,1.257,1.006,1.313,0.964,1.18,1.272,1.13,1.573,1.256,1.208,#SAT,3.599,1.229,0.989,1.294,0.981,1.168,1.274,1.116,1.567,1.242,1.185,2.216,0.996,0.247,0.195,0.251,0.182,0.224,0.239,0.222,0.348,0.249,0.033,2.279,1.134,0.252,0.188,0.258,0.19,0.24,0.247,0.222,0.36,0.268,0.032,2.267,1.081,0.25,0.182,0.266,0.188,0.224,0.243,0.216,0.357,0.262,0.033,0.974,0.783,0.608,0.481,0.236,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.964,0.787,0.614,0.418,0.232,0.05,0.034,0.033,0.033,0.033,0.033,0.032
,,720,#SAT,#SAT,1.433,1.153,1.492,1.144,1.358,1.459,1.281,1.713,1.424,1.361,#SAT,#SAT,1.4,1.123,1.462,1.076,1.315,1.417,1.26,1.744,1.4,1.338,#SAT,3.927,1.373,1.106,1.444,1.098,1.305,1.422,1.244,1.738,1.388,1.316,2.472,1.119,0.273,0.214,0.277,0.199,0.246,0.263,0.244,0.387,0.275,0.032,2.541,1.276,0.278,0.206,0.287,0.208,0.265,0.272,0.244,0.401,0.298,0.032,2.532,1.218,0.277,0.199,0.294,0.206,0.246,0.267,0.238,0.398,0.291,0.033,0.974,0.783,0.607,0.481,0.236,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.964,0.787,0.613,0.418,0.232,0.05,0.034,0.033,0.033,0.033,0.034,0.032
,,839.87,#SAT,#SAT,1.571,1.268,1.636,1.258,1.49,1.601,1.405,1.87,1.564,1.487,#SAT,#SAT,1.54,1.237,1.608,1.186,1.446,1.558,1.386,1.908,1.54,1.466,#SAT,#SAT,1.512,1.221,1.59,1.212,1.438,1.564,1.369,1.902,1.529,1.442,2.712,1.24,0.298,0.232,0.303,0.216,0.269,0.287,0.265,0.425,0.302,0.032,2.8,1.415,0.304,0.224,0.314,0.226,0.289,0.297,0.266,0.442,0.327,0.032,2.787,1.352,0.303,0.216,0.322,0.223,0.269,0.292,0.259,0.439,0.32,0.033,0.976,0.782,0.608,0.481,0.236,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.963,0.787,0.613,0.418,0.232,0.05,0.034,0.033,0.033,0.033,0.033,0.032
,,959.62,#SAT,#SAT,1.705,1.378,1.775,1.368,1.618,1.738,1.527,2.02,1.701,1.609,#SAT,#SAT,1.676,1.349,1.75,1.294,1.574,1.694,1.509,2.064,1.677,1.587,#SAT,#SAT,1.647,1.334,1.732,1.323,1.568,1.703,1.492,2.058,1.667,1.563,2.942,1.36,0.322,0.25,0.328,0.233,0.291,0.31,0.286,0.462,0.328,0.033,3.044,1.551,0.329,0.241,0.34,0.244,0.313,0.322,0.287,0.482,0.356,0.032,3.027,1.484,0.329,0.232,0.349,0.241,0.291,0.316,0.279,0.479,0.348,0.033,0.975,0.782,0.607,0.48,0.236,0.054,0.034,0.036,0.036,0.035,0.034,0.033,0.962,0.786,0.612,0.417,0.232,0.05,0.034,0.033,0.033,0.033,0.034,0.032
,,1080.13,#SAT,#SAT,1.836,1.488,1.911,1.478,1.745,1.871,1.646,2.167,1.836,1.727,#SAT,#SAT,1.809,1.46,1.889,1.401,1.7,1.828,1.63,2.216,1.811,1.704,#SAT,#SAT,1.781,1.444,1.87,1.433,1.695,1.839,1.611,2.21,1.803,1.682,3.167,1.478,0.347,0.268,0.354,0.249,0.313,0.334,0.307,0.5,0.354,0.033,3.273,1.685,0.355,0.258,0.366,0.262,0.337,0.346,0.308,0.522,0.385,0.032,3.261,1.613,0.354,0.249,0.376,0.26,0.312,0.34,0.299,0.519,0.377,0.033,0.976,0.781,0.606,0.48,0.236,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.962,0.786,0.612,0.417,0.232,0.05,0.034,0.033,0.033,0.033,0.034,0.032
,,1200.23,#SAT,#SAT,1.964,1.594,2.044,1.584,1.867,2.001,1.762,2.306,1.967,1.841,#SAT,#SAT,1.939,1.566,2.022,1.506,1.822,1.958,1.747,2.362,1.942,1.818,#SAT,#SAT,1.91,1.552,2.004,1.541,1.819,1.971,1.728,2.356,1.935,1.795,3.381,1.593,0.371,0.286,0.378,0.265,0.335,0.357,0.327,0.537,0.379,0.032,3.496,1.817,0.379,0.275,0.393,0.279,0.361,0.37,0.328,0.562,0.414,0.032,3.482,1.739,0.379,0.265,0.402,0.275,0.334,0.363,0.319,0.558,0.405,0.033,0.976,0.781,0.606,0.48,0.236,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.962,0.785,0.611,0.417,0.232,0.05,0.034,0.033,0.033,0.033,0.034,0.032
,,1320.33,#SAT,#SAT,2.089,1.698,2.172,1.688,1.986,2.127,1.875,2.443,2.095,1.952,#SAT,#SAT,2.064,1.672,2.154,1.608,1.942,2.084,1.862,2.503,2.07,1.928,#SAT,#SAT,2.035,1.657,2.137,1.646,1.94,2.099,1.842,2.497,2.064,1.905,3.593,1.707,0.395,0.303,0.403,0.281,0.356,0.38,0.347,0.574,0.404,0.032,3.697,1.944,0.404,0.292,0.419,0.297,0.384,0.394,0.349,0.602,0.442,0.032,3.692,1.863,0.404,0.28,0.428,0.291,0.355,0.386,0.338,0.597,0.433,0.033,0.974,0.78,0.605,0.479,0.236,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.961,0.784,0.612,0.417,0.232,0.05,0.034,0.033,0.033,0.033,0.033,0.032
,,1439.93,#SAT,#SAT,2.209,1.8,2.296,1.79,2.102,2.249,1.986,2.572,2.219,2.059,#SAT,#SAT,2.186,1.775,2.28,1.707,2.057,2.206,1.974,2.638,2.194,2.034,#SAT,#SAT,2.158,1.761,2.263,1.748,2.057,2.224,1.952,2.632,2.19,2.011,3.78,1.818,0.419,0.32,0.427,0.297,0.377,0.402,0.367,0.612,0.43,0.033,3.872,2.07,0.428,0.308,0.447,0.314,0.406,0.417,0.369,0.643,0.47,0.032,3.892,1.985,0.428,0.296,0.454,0.309,0.376,0.408,0.357,0.636,0.46,0.033,0.973,0.78,0.605,0.479,0.236,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.96,0.784,0.611,0.416,0.232,0.05,0.034,0.033,0.033,0.033,0.034,0.032
,,1559.8,#SAT,#SAT,2.327,1.899,2.418,1.89,2.215,2.367,2.093,2.699,2.341,2.162,#SAT,#SAT,2.309,1.877,2.405,1.806,2.17,2.326,2.083,2.769,2.317,2.137,#SAT,#SAT,2.277,1.862,2.388,1.848,2.172,2.346,2.061,2.763,2.314,2.115,3.974,1.928,0.442,0.337,0.45,0.312,0.398,0.424,0.386,0.648,0.454,0.032,#SAT,2.192,0.452,0.324,0.476,0.33,0.429,0.44,0.388,0.679,0.497,0.032,#SAT,2.104,0.451,0.31,0.479,0.323,0.396,0.43,0.376,0.674,0.487,0.033,0.971,0.779,0.604,0.478,0.235,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.96,0.783,0.611,0.416,0.232,0.051,0.034,0.033,0.033,0.033,0.033,0.032
,,1679.8,#SAT,#SAT,2.442,1.997,2.537,1.987,2.325,2.483,2.198,2.821,2.461,2.264,#SAT,#SAT,2.426,1.976,2.526,1.901,2.282,2.443,2.19,2.898,2.437,2.237,#SAT,#SAT,2.394,1.962,2.509,1.947,2.285,2.464,2.167,2.891,2.435,2.216,#SAT,2.036,0.465,0.354,0.474,0.327,0.418,0.446,0.406,0.684,0.479,0.033,#SAT,2.312,0.475,0.34,0.497,0.346,0.451,0.462,0.407,0.718,0.525,0.032,#SAT,2.22,0.475,0.325,0.504,0.339,0.416,0.452,0.394,0.711,0.514,0.033,0.972,0.779,0.604,0.479,0.236,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.959,0.783,0.612,0.416,0.231,0.051,0.034,0.033,0.033,0.033,0.033,0.032
,,1799.92,#SAT,#SAT,2.554,2.092,2.653,2.083,2.433,2.594,2.302,2.94,2.578,2.362,#SAT,#SAT,2.54,2.073,2.643,1.995,2.39,2.556,2.294,3.018,2.554,2.334,#SAT,#SAT,2.508,2.059,2.629,2.043,2.395,2.581,2.271,3.013,2.554,2.313,#SAT,2.142,0.488,0.37,0.497,0.342,0.438,0.468,0.424,0.72,0.504,0.032,#SAT,2.43,0.498,0.356,0.52,0.363,0.472,0.484,0.426,0.756,0.552,0.032,#SAT,2.336,0.498,0.34,0.528,0.355,0.435,0.473,0.412,0.749,0.541,0.033,0.971,0.778,0.603,0.478,0.236,0.053,0.034,0.036,0.036,0.035,0.034,0.033,0.959,0.783,0.61,0.416,0.231,0.051,0.034,0.033,0.033,0.033,0.034,0.032
