User,Public,,,,,,,,,,,,
Protocol name,New FL Protocol,,,,,,,,,,,,
Time of export,02/05/2025 22:44:38,,,,,,,,,,,,
Time of last change,02/05/2025 22:38:38,,,,,,,,,,,,
Time of last use (end time),02/05/2025 22:40:42,,,,,,,,,,,,
Software version,1.2.0.0,,,,,,,,,,,,
Instrument name,iD3-2585,,,,,,,,,,,,
Serial number,2585,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment (1 of 1),,,,,,,,,,,,,
Experiment name,Experiment 1,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate  (1 of 1),,,,,,,,,,,,,
Plate name,Plate 1,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,
Microplate name,Standard clrbtm,,,,,,,,,,,,
Rows,8,,,,,,,,,,,,
Columns,12,,,,,,,,,,,,
Well count,96 Wells,,,,,,,,,,,,
Well shape,Round,,,,,,,,,,,,
Bottom shape,Flat,,,,,,,,,,,,
Orientation,Landscape,,,,,,,,,,,,
Is lidded,False,,,,,,,,,,,,
Read Time,02/05/2025 22:38:41,,,,,,,,,,,,
,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,
Measurement mode,Fl,,,,,,,,,,,,
Measurement type,Endpoint,,,,,,,,,,,,
,,,,,,,,,,,,,
Wavelength settings,,,,,,,,,,,,,
Method,Mono / Mono,,,,,,,,,,,,
Excitation/Emission,365 nm/450 nm,,,,,,,,,,,,
,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,
Integration time,400,,,,,,,,,,,,
PMT Sensitivity,Auto,,,,,,,,,,,,
Bottom read,False,,,,,,,,,,,,
Read height,1,,,,,,,,,,,,
,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,
Shake,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,
,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,
Wavelength(Ex/Em),365 nm/450 nm,1,2,3,4,5,6,7,8,9,10,11,12
,A,1523498,1477876,1370506,1258877,1372243,1372767,1376826,1305871,1326185,1128824,1155277,
,B,1689758,1516933,1402445,1404074,1436427,1404618,1391641,1407310,1381362,1160793,1169988,
,C,1648115,1511485,1361155,1377656,1310489,1336284,1369064,1366228,1367353,1147012,1162639,
,D,1256812,1222474,1208872,1180498,301356,245869,245165,248884,246746,247214,245949,
,E,1303922,1219851,1237932,1178614,295470,247819,246614,247693,247808,248841,246581,
,F,1239088,1187068,1205826,1119450,293069,249294,246460,249900,246604,253915,243268,
,G,,,,,,,,,,,,
,H,,,,,,,,,,,,
