User,Public,,,,,,,,,,,,
Protocol name,New FL Protocol,,,,,,,,,,,,
Time of export,02/06/2025 00:45:51,,,,,,,,,,,,
Time of last change,02/06/2025 00:42:10,,,,,,,,,,,,
Time of last use (end time),02/06/2025 00:44:51,,,,,,,,,,,,
Software version,1.2.0.0,,,,,,,,,,,,
Instrument name,iD3-2585,,,,,,,,,,,,
Serial number,2585,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment (1 of 1),,,,,,,,,,,,,
Experiment name,Experiment 1,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate  (1 of 1),,,,,,,,,,,,,
Plate name,Plate 1,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,
Microplate name,Standard clrbtm,,,,,,,,,,,,
Rows,8,,,,,,,,,,,,
Columns,12,,,,,,,,,,,,
Well count,96 Wells,,,,,,,,,,,,
Well shape,Round,,,,,,,,,,,,
Bottom shape,Flat,,,,,,,,,,,,
Orientation,Landscape,,,,,,,,,,,,
Is lidded,False,,,,,,,,,,,,
Read Time,02/06/2025 00:43:38,,,,,,,,,,,,
,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,
Measurement mode,Fl,,,,,,,,,,,,
Measurement type,Endpoint,,,,,,,,,,,,
,,,,,,,,,,,,,
Wavelength settings,,,,,,,,,,,,,
Method,Mono / Mono,,,,,,,,,,,,
Excitation/Emission,365 nm/450 nm,,,,,,,,,,,,
,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,
Integration time,400,,,,,,,,,,,,
PMT Sensitivity,Auto,,,,,,,,,,,,
Bottom read,False,,,,,,,,,,,,
Read height,1,,,,,,,,,,,,
,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,
Shake,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,
,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,
Wavelength(Ex/Em),365 nm/450 nm,1,2,3,4,5,6,7,8,9,10,11,12
,A,132235328,99793824,34672216,24518420,28164922,23692850,33435710,34034168,17265810,33664004,17488458,9691659
,B,126052440,101524928,38552484,23077176,26673028,26058090,27360592,19194342,16497729,31565450,16331002,9129747
,C,255935,246302,249877,471809,473059,459735,3008952,3096336,3101385,32561160,16392684,9264741
,D,,,,,,,,,,,,
,E,,,,,,,,,,,,
,F,,,,,,,,,,,,
,G,,,,,,,,,,,,
,H,,,,,,,,,,,,
