User,Public,,,,,,,,,,,,
Protocol name,New FL Protocol,,,,,,,,,,,,
Time of export,02/11/2025 22:48:32,,,,,,,,,,,,
Time of last change,02/11/2025 22:44:32,,,,,,,,,,,,
Time of last use (end time),02/11/2025 22:46:44,,,,,,,,,,,,
Software version,1.2.0.0,,,,,,,,,,,,
Instrument name,iD3-2585,,,,,,,,,,,,
Serial number,2585,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment (1 of 1),,,,,,,,,,,,,
Experiment name,Experiment 1,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate  (1 of 1),,,,,,,,,,,,,
Plate name,Plate 1,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,
Microplate name,Standard clrbtm,,,,,,,,,,,,
Rows,8,,,,,,,,,,,,
Columns,12,,,,,,,,,,,,
Well count,96 Wells,,,,,,,,,,,,
Well shape,Round,,,,,,,,,,,,
Bottom shape,Flat,,,,,,,,,,,,
Orientation,Landscape,,,,,,,,,,,,
Is lidded,False,,,,,,,,,,,,
Read Time,02/11/2025 22:44:45,,,,,,,,,,,,
,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,
Measurement mode,Fl,,,,,,,,,,,,
Measurement type,Endpoint,,,,,,,,,,,,
,,,,,,,,,,,,,
Wavelength settings,,,,,,,,,,,,,
Method,Mono / Mono,,,,,,,,,,,,
Excitation/Emission,365 nm/450 nm,,,,,,,,,,,,
,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,
Integration time,400,,,,,,,,,,,,
PMT Sensitivity,Auto,,,,,,,,,,,,
Bottom read,False,,,,,,,,,,,,
Read height,1,,,,,,,,,,,,
,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,
Shake,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,
,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,
Wavelength(Ex/Em),365 nm/450 nm,1,2,3,4,5,6,7,8,9,10,11,12
,A,86753512,28138756,28664102,28859914,27814052,28315600,29031616,27761924,30513930,,,
,B,111526000,26106374,27247712,24912160,24537688,24579432,28569120,24830970,27106682,,,
,C,117990592,26071060,30625334,33684208,28654024,28040198,29769084,32056712,30312080,,,
,D,70724256,33369104,13364925,3183127,463156,241590,407297,239117,244255,,,
,E,61706784,29035532,13658687,3286086,464571,239316,240069,242072,241594,,,
,F,65856728,30918846,13480668,3225757,475153,242544,241110,247744,241477,,,
,G,,,,,,,,,,,,
,H,,,,,,,,,,,,
